macro_domain,task_type,metric,contrast_name,variant_a,variant_b,mean_a,mean_b,diff_a_minus_b,higher_is_better
education,synthesis_sensitive,retrieval_disconfirming_coverage,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.53,4.53,0.00,true
education,synthesis_sensitive,retrieval_disconfirming_coverage,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.53,4.87,-0.33,true
education,synthesis_sensitive,retrieval_disconfirming_coverage,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,1.47,4.53,-3.07,true
education,synthesis_sensitive,retrieval_distractor_robustness,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
education,synthesis_sensitive,retrieval_distractor_robustness,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
education,synthesis_sensitive,retrieval_distractor_robustness,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,5.00,0.00,true
education,synthesis_sensitive,retrieval_distractor_robustness,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
education,synthesis_sensitive,retrieval_evidence_relevance,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.27,4.27,0.00,true
education,synthesis_sensitive,retrieval_evidence_relevance,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.20,4.27,-0.07,true
education,synthesis_sensitive,retrieval_evidence_relevance,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.20,4.27,-0.07,true
education,synthesis_sensitive,retrieval_evidence_relevance,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,3.73,4.20,-0.47,true
education,synthesis_sensitive,retrieval_result_persona_fit,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.87,2.60,0.27,true
education,synthesis_sensitive,retrieval_result_persona_fit,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,3.80,2.87,0.93,true
education,synthesis_sensitive,retrieval_result_persona_fit,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,3.80,2.60,1.20,true
education,synthesis_sensitive,retrieval_result_persona_fit,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,2.13,3.80,-1.67,true
education,synthesis_sensitive,retrieval_source_quality,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,3.93,3.87,0.07,true
education,synthesis_sensitive,retrieval_source_quality,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,3.93,3.93,0.00,true
